target,dataset_name
ADT1_YEAST  0.58  0.61  0.47  0.13  0.50  0.00  0.48  0.22  MIT,yeast
ADT2_YEAST  0.43  0.67  0.48  0.27  0.50  0.00  0.53  0.22  MIT,yeast
ADT3_YEAST  0.64  0.62  0.49  0.15  0.50  0.00  0.53  0.22  MIT,yeast
AAR2_YEAST  0.58  0.44  0.57  0.13  0.50  0.00  0.54  0.22  NUC,yeast
AATM_YEAST  0.42  0.44  0.48  0.54  0.50  0.00  0.48  0.22  MIT,yeast
AATC_YEAST  0.51  0.40  0.56  0.17  0.50  0.50  0.49  0.22  CYT,yeast
ABC1_YEAST  0.50  0.54  0.48  0.65  0.50  0.00  0.53  0.22  MIT,yeast
BAF1_YEAST  0.48  0.45  0.59  0.20  0.50  0.00  0.58  0.34  NUC,yeast
ABF2_YEAST  0.55  0.50  0.66  0.36  0.50  0.00  0.49  0.22  MIT,yeast
ABP1_YEAST  0.40  0.39  0.60  0.15  0.50  0.00  0.58  0.30  CYT,yeast
ACE1_YEAST  0.43  0.39  0.54  0.21  0.50  0.00  0.53  0.27  NUC,yeast
ACE2_YEAST  0.42  0.37  0.59  0.20  0.50  0.00  0.52  0.29  NUC,yeast
ACH1_YEAST  0.40  0.42  0.57  0.35  0.50  0.00  0.53  0.25  CYT,yeast
ACON_YEAST  0.60  0.40  0.52  0.46  0.50  0.00  0.53  0.22  MIT,yeast
ACR1_YEAST  0.66  0.55  0.45  0.19  0.50  0.00  0.46  0.22  MIT,yeast
ACT_YEAST   0.46  0.44  0.52  0.11  0.50  0.00  0.50  0.22  CYT,yeast
ACT2_YEAST  0.47  0.39  0.50  0.11  0.50  0.00  0.49  0.40  CYT,yeast
ACT3_YEAST  0.58  0.47  0.54  0.11  0.50  0.00  0.51  0.26  NUC,yeast
ACT5_YEAST  0.50  0.34  0.55  0.21  0.50  0.00  0.49  0.22  NUC,yeast
ADA2_YEAST  0.61  0.60  0.55  0.21  0.50  0.00  0.50  0.25  NUC,yeast
C1TC_YEAST  0.45  0.40  0.50  0.16  0.50  0.00  0.50  0.22  CYT,yeast
PUR4_YEAST  0.43  0.44  0.48  0.22  0.50  0.00  0.51  0.22  CYT,yeast
PUR3_YEAST  0.73  0.63  0.42  0.30  0.50  0.00  0.49  0.22  CYT,yeast
ADH1_YEAST  0.43  0.53  0.52  0.13  0.50  0.00  0.55  0.22  CYT,yeast
ADH2_YEAST  0.46  0.53  0.52  0.15  0.50  0.00  0.58  0.22  CYT,yeast
ADH3_YEAST  0.51  0.51  0.52  0.51  0.50  0.00  0.54  0.22  MIT,yeast
ADH4_YEAST  0.59  0.45  0.53  0.19  0.50  0.00  0.59  0.27  CYT,yeast
KAD1_YEAST  0.57  0.47  0.60  0.18  0.50  0.00  0.51  0.22  CYT,yeast
KAD2_YEAST  0.63  0.67  0.57  0.24  0.50  0.00  0.49  0.22  MIT,yeast
ADP1_YEAST  0.80  0.88  0.36  0.39  0.50  0.00  0.56  0.33  ME1,yeast
ADR1_YEAST  0.53  0.54  0.43  0.10  0.50  0.00  0.57  0.32  NUC,yeast
AFG3_YEAST  0.51  0.51  0.43  0.87  0.50  0.00  0.52  0.22  MIT,yeast
AFR1_YEAST  0.38  0.61  0.61  0.12  0.50  0.00  0.53  0.47  CYT,yeast
RCS1_YEAST  0.33  0.55  0.51  0.43  0.50  0.00  0.51  0.22  NUC,yeast
AGA1_YEAST  0.78  0.74  0.42  0.26  0.50  0.00  0.43  0.22  ME1,yeast
AGA2_YEAST  0.74  0.67  0.47  0.34  0.50  0.00  0.42  0.22  EXC,yeast
YMX1_YEAST  0.72  0.61  0.45  0.30  0.50  0.00  0.54  0.25  MIT,yeast
SYAC_YEAST  0.40  0.45  0.57  0.18  0.50  0.00  0.56  0.26  CYT,yeast
DHA1_YEAST  0.59  0.53  0.43  0.44  0.50  0.00  0.50  0.22  MIT,yeast
